# TB-104 D2 - Rueckfall-Inventar TB-103 (a4_rueckfaelle.txt) gegen den Laufbereich (D1)
# Laufbereich = Vereinigung der geladenen Repo-Module aus: docs/belege/TB-104/d1_laufbereich_trockenlauf.txt, docs/belege/TB-104/d1_laufbereich_benchmark.txt, docs/belege/TB-104/d1_laufbereich_auswertung.txt
# Spalten: Nr | Fundstelle (Inventar, gekuerzt) | im Laufbereich | geladen von (Lauf-Typ: Datei)

19 | research/vorregistrierung/benchmark.py:188-189, 249-254, 282 | JA | auswertung_import/benchmark: research/vorregistrierung/benchmark.py
20 | research/vorregistrierung/benchmark.py:201-203 | JA | auswertung_import/benchmark: research/vorregistrierung/benchmark.py
21 | research/vorregistrierung/faltenplan.py:105 (+117, 121) | JA | auswertung_import/benchmark: research/vorregistrierung/faltenplan.py
22 | research/vorregistrierung/faltenplan.py:147-148 | JA | auswertung_import/benchmark: research/vorregistrierung/faltenplan.py
23 | research/vorregistrierung/faltenplan.py:153-154 | JA | auswertung_import/benchmark: research/vorregistrierung/faltenplan.py
24 | research/faltenplan_neun/faltenplan_neun.py:110, 225 (ausserhalb des Suchbereichs, nur gegrept) | JA | auswertung_import/benchmark: research/faltenplan_neun/faltenplan_neun.py
25 | research/vorregistrierung/auswertung.py:92 | JA | auswertung_import: research/vorregistrierung/auswertung.py
26 | research/vorregistrierung/auswertung.py:284, 286 | JA | auswertung_import: research/vorregistrierung/auswertung.py
27 | research/vorregistrierung/auswertung.py:333-334 + 380-385 | JA | auswertung_import: research/vorregistrierung/auswertung.py
28 | research/vorregistrierung/auswertung.py:500 | JA | auswertung_import: research/vorregistrierung/auswertung.py
29 | research/vorregistrierung/auswertung.py:414-415 | JA | auswertung_import: research/vorregistrierung/auswertung.py
30 | research/vorregistrierung/auswertung.py:486-490 | JA | auswertung_import: research/vorregistrierung/auswertung.py
31 | research/vorregistrierung/herkunft.py:51, 98 | nein | -
32 | research/vorregistrierung/herkunft.py:84-91 | nein | -
33 | research/vorregistrierung/herkunft.py:113-118 | nein | -
34 | research/vorregistrierung/herkunft.py:142-146 | nein | -
35 | research/vorregistrierung/pruefe_grenzsaetze.py:49, 79-81, 90-93 | nein | -
36 | research/vorregistrierung/registerbericht.py:31 | nein | -
37 | research/vorregistrierung/registerdaten.py:58-62 | JA | auswertung_import/benchmark: research/vorregistrierung/registerdaten.py
38 | shared/entscheidungskerze.py:655-664 (+ _aus_datei 675-691) | nein | -
39 | shared/entscheidungskerze.py:257, 652 | nein | -
40 | shared/entscheidungskerze.py:356-366, 375-387, 703-716 | nein | -
41 | shared/groessenfaktor.py:153-209 | nein | -
42 | shared/fetch_binance_data.py:178-183, 216, 298-310 | JA | benchmark: shared/fetch_binance_data.py
43 | shared/claude_client.py:46-62 | nein | -
44 | shared/abrufschutz.py:322-336 | JA | benchmark/trockenlauf: shared/abrufschutz.py
45 | shared/build_daily_crypto_data.py:63-66 | nein | -
46 | shared/ergebniskurven.py:175-176 | nein | -
47 | shared/portfolio_overview.py:154, 222, 250-260, 342-352, 437 | nein | -
48 | shared/sperrlistensonde.py:288-293 | nein | -
49 | shared/umstellungstag.py:110-117, 128-131 | nein | -
50 | strategies/elliott_wave_stocks/get_top_stocks.py:59-63 | nein | -
51 | strategies/*/buy_and_hold_benchmark.py (z. B. rsi2_mean_reversion:35-38) | nein | -

Summe: 51 Fundstellen-Zeilen, 30 im Laufbereich, 21 nicht
